"","Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","Agg.Entropy..bits.","Avg.Entropy..bits.","BW.90...Hz.","Center.Freq..Hz.","Delta.Time..s.","Freq.5...Hz.","Freq.95...Hz.","Max.Freq..Hz.","Begin.File","Begin.Path","Signal.Type","song.analyzed","num.notes","num.unique.notes","buzzy.or.clear","Song.ID.1","Source"
"38",1,"Spectrogram 1",1,34.30602899,35.65941473,3434.4,8592.9,4.49,2.908,2584,4134.4,1.353,3876,6460,4048.2,"22965_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/22965_44k.wav","song","4",14,5,"clear","22965","Macauley Library"
"39",1,"Selection Spectrum 1",1,34.30602899,35.65941473,3434.4,8592.9,4.487,4.487,2584,4134.4,1.353,3876,6460,4048.2,"22965_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/22965_44k.wav","song","4",14,5,"clear","22965","Macauley Library"
"40",2,"Waveform 1",1,13.21959848,14.57018508,3208.3,9124.5,NA,NA,NA,NA,1.351,NA,NA,NA,"22965_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/22965_44k.wav","song","2",14,5,"clear","22965","Macauley Library"
"41",2,"Spectrogram 1",1,13.21959848,14.57018508,3208.3,9124.5,4.931,2.778,3014.6,5426.4,1.351,3962.1,6976.8,5340.2,"22965_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/22965_44k.wav","song","2",14,5,"clear","22965","Macauley Library"
"42",2,"Selection Spectrum 1",1,13.21959848,14.57018508,3208.3,9124.5,4.932,4.932,3014.6,5426.4,1.351,3962.1,6976.8,5340.2,"22965_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/22965_44k.wav","song","2",14,5,"clear","22965","Macauley Library"
"43",3,"Waveform 1",1,21.36443697,22.72482057,3435,8196.7,NA,NA,NA,NA,1.36,NA,NA,NA,"22965_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/22965_44k.wav","song","3",14,5,"clear","22965","Macauley Library"
"44",3,"Spectrogram 1",1,21.36443697,22.72482057,3435,8196.7,4.807,2.674,2584,5254.1,1.36,3876,6460,5340.2,"22965_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/22965_44k.wav","song","3",14,5,"clear","22965","Macauley Library"
"45",3,"Selection Spectrum 1",1,21.36443697,22.72482057,3435,8196.7,4.789,4.789,2584,5254.1,1.36,3876,6460,5254.1,"22965_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/22965_44k.wav","song","3",14,5,"clear","22965","Macauley Library"
"46",1,"Waveform 1",1,57.8586407,59.34189877,3528.7,8436.2,NA,NA,NA,NA,1.483,NA,NA,NA,"47702_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47702_44k.wav","song","3",10,5,"clear","47702","Macauley Library"
"47",1,"Spectrogram 1",1,57.8586407,59.34189877,3528.7,8436.2,4.569,2.729,2584,5168,1.483,4478.9,7062.9,4995.7,"47702_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47702_44k.wav","song","3",10,5,"clear","47702","Macauley Library"
