"","sound.files","selec","start","end"
"1302","SRF10M06.WAV.wav",5,179.3504858,181.0450128
"1305","SRF10M09.WAV.wav",1,118.9056073,120.2759487
"1308","SRF10M09.WAV.wav",3,286.0697841,287.3522777
"1311","SRF10M09.WAV.wav",4,297.1700365,298.2891138
"1314","SRF11M01.WAV.wav",1,1.802328409,3.627822993
"1317","SRF11M01.WAV.wav",2,25.64758453,27.57037705
"1320","SRF11M01.WAV.wav",3,65.26206046,66.65666419
"1332","SRF11M03.WAV.wav",1,18.59480717,19.72505923
"1335","SRF11M03.WAV.wav",2,43.85932269,45.02317684
"1338","SRF11M03.WAV.wav",3,33.74638009,34.99576683
"1350","SRF12M02.WAV.wav",1,220.3438261,221.9069204
"1353","SRF12M02.WAV.wav",2,94.98053008,96.43046396
"1356","SRF12M02.WAV.wav",3,113.1542939,114.6592436
"1377","SRF12M04_2.WAV.wav",1,163.9713586,165.5408728
"1380","SRF12M04_2.WAV.wav",2,342.0548041,343.5917245
"1383","SRF12M04_2.WAV.wav",3,249.9732528,251.5126805
"1395","SRF13M01_1.WAV.wav",3,32.94853718,34.06684161
"1398","SRF13M01_1.WAV.wav",2,63.76753021,65.09275498
"1401","SRF13M01_1.WAV.wav",1,53.32131797,54.68557253
"1404","SRF13M02_1.WAV.wav",5,306.4276006,307.9913115
"1407","SRF13M02_1.WAV.wav",1,30.64812724,31.90195477
"1410","SRF13M02_1.WAV.wav",3,185.1677015,186.7374919
"1422","SRF13M03.WAV.wav",1,33.66908885,34.9814841
"1425","SRF13M03.WAV.wav",4,2.199944566,3.553139667
"1428","SRF13M03.WAV.wav",5,61.25421444,62.82500876
"1431","SRF13M04.WAV.wav",1,43.22712549,44.66083669
"1434","SRF13M04.WAV.wav",2,25.82898081,27.27735163
"1437","SRF13M04.WAV.wav",3,34.84688201,36.06266139
"1440","SRF14M01.WAV.wav",1,234.5610272,236.0051327
"1443","SRF14M01.WAV.wav",2,196.3706679,197.5317351
"1446","SRF14M01.WAV.wav",3,64.9011176,66.3014039
"1458","SRF14M03.WAV.wav",1,54.39763333,55.63029738
"1461","SRF14M03.WAV.wav",2,68.12948182,69.42335692
"1464","SRF14M03.WAV.wav",3,79.33513886,80.61634961
"1467","SRF14M04.WAV.wav",1,61.83947416,63.01732651
"1470","SRF14M04.WAV.wav",2,74.01512018,75.3580732
"1473","SRF14M04.WAV.wav",3,84.79771827,86.07624176
"1476","SRF14M05.WAV.wav",1,15.34211091,16.48573103
"1479","SRF14M05.WAV.wav",2,50.95315575,51.88331736
"1482","SRF14M05.WAV.wav",3,98.80579128,99.69067382
"1485","SRF14M06.WAV.wav",1,1.709475498,3.420884894
"1488","SRF14M06.WAV.wav",2,10.09871283,11.75374639
"1491","SRF14M06.WAV.wav",3,99.57495846,101.2400591
"1503","SRF16M02.WAV.wav",1,52.84890505,53.83548223
"1506","SRF16M02.WAV.wav",2,90.36105369,91.14628859
"1509","SRF16M03.WAV.wav",1,269.5722076,270.9370972
"1512","SRF16M03.WAV.wav",2,259.9083721,261.0026369
"1515","SRF16M03.WAV.wav",3,161.2705776,162.4592995
"1518","SRF16M04.WAV.wav",1,170.549824,171.9692871
"1521","SRF16M04.WAV.wav",2,394.0198999,395.6449099
"1524","SRF16M04.WAV.wav",3,543.1585618,544.8068402
"1527","SRF17M01_2.WAV.wav",1,81.01075906,82.57712783
"1530","SRF17M01_2.WAV.wav",2,91.92253771,93.49465252
"1533","SRF17M01_2.WAV.wav",3,205.6580469,207.2692347
"1536","SRF17M02_3.WAV.wav",1,13.54183241,15.11075111
"1539","SRF17M02_3.WAV.wav",2,25.60106579,27.04491428
"1542","SRF17M02_2.WAV.wav",1,1.779639161,2.960260579
"1563","SRF17M04_2.WAV.wav",1,22.13340511,23.43321757
"1566","SRF17M04_2.WAV.wav",2,76.73369861,77.80826745
"1569","SRF17M03_2 + SRF17M04_1.WAV.wav",1,98.79248229,100.1802225
"1572","SRF17M05_1.WAV.wav",1,93.99169322,95.46287283
"1575","SRF17M05_1.WAV.wav",2,107.6581524,109.1080985
"1578","SRF17M05_2.WAV.wav",1,86.49336534,87.91637515
"1590","SRF18M01_1.WAV.wav",1,64.34611238,65.3881876
"1593","SRF18M01_3.WAV.wav",1,1.828301956,2.683310087
"1596","SRF18M01_3.WAV.wav",2,60.74777681,61.62847072
"1599","SRF18M02 +SRF18M03.WAV.wav",1,24.06727094,25.72277351
"1602","SRF18M02 +SRF18M03.WAV.wav",2,80.06737133,81.61619473
"1605","SRF18M02 +SRF18M03.WAV.wav",3,205.5432487,207.113803
"1608","SRF18M04.WAV.wav",1,331.7336659,332.9229966
"1611","SRF18M04.WAV.wav",2,284.8758838,286.0563521
"1614","SRF18M04.WAV.wav",3,419.6708523,420.830038
"1617","SRF18M05.WAV.wav",1,100.7658719,102.0954894
"1620","SRF18M05.WAV.wav",2,90.12660582,91.29478065
"1623","SRF18M05.WAV.wav",3,141.8892431,142.9084958
"1626","SRF18M06.WAV.wav",1,49.9624496,51.18257398
"1629","SRF18M06.WAV.wav",2,131.096676,132.2596828
"1632","SRF18M06.WAV.wav",3,195.1146668,196.2835179
"1644","SRF22M01_2.WAV.wav",1,61.83376796,63.41242385
"1647","SRF22M01_2.WAV.wav",4,72.39375297,74.20616816
"1650","SRF22M01_2.WAV.wav",5,149.4256805,151.0519165
"1665","SRF22M03_3.WAV.wav",1,31.52303183,33.07609801
"1668","SRF22M03_3.WAV.wav",4,124.1422074,125.6630762
"1680","SRF23M01_2.WAV.wav",1,37.6865975,39.26940617
"1683","SRF23M01_1.WAV.wav",1,1.60547867,2.570824744
"1686","SRF23M01_1.WAV.wav",2,33.02201543,34.06161158
"1689","SRF23M02.WAV.wav",1,111.7327545,113.3542444
"1692","SRF23M02.WAV.wav",2,299.2308453,301.2371612
"1695","SRF23M02.WAV.wav",3,1.546618469,3.125698247
