Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Agg Entropy (bits),Avg Entropy (bits),BW 90% (Hz),Center Freq (Hz),Delta Time (s),Freq 5% (Hz),Freq 95% (Hz),Max Freq (Hz),Begin File,Begin Path,Signal Type,Song ID,num notes,num unique notes,buzzy or clear,Song ID,Source
3,Selection Spectrum 1,1,50.065264,51.51663028,2621.3,8630.2,4.372,4.372,1808.8,5684.8,1.451,4306.6,6115.4,5857,47704_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47704_44k.wav,song,4,11,4,buzzy,47704,Macauley Library
1,Waveform 1,1,176.2823748,178.0200141,3539.9,8487.4,,,,,1.738,,,,47707_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47707_44k.wav,song,11,10,6,clear,47707,Macauley Library
1,Spectrogram 1,1,176.2823748,178.0200141,3539.9,8487.4,4.368,2.299,2239.5,5598.6,1.738,4392.8,6632.2,4823.4,47707_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47707_44k.wav,song,11,10,6,clear,47707,Macauley Library
1,Selection Spectrum 1,1,176.2823748,178.0200141,3539.9,8487.4,4.38,4.38,2239.5,5598.6,1.738,4392.8,6632.2,5598.6,47707_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47707_44k.wav,song,11,10,6,clear,47707,Macauley Library
2,Waveform 1,1,145.2360942,146.956217,3642.9,7920.5,,,,,1.72,,,,47707_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47707_44k.wav,song,10,10,6,clear,47707,Macauley Library
2,Spectrogram 1,1,145.2360942,146.956217,3642.9,7920.5,4.587,2.279,2239.5,5598.6,1.72,4392.8,6632.2,5684.8,47707_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47707_44k.wav,song,10,10,6,clear,47707,Macauley Library
2,Selection Spectrum 1,1,145.2360942,146.956217,3642.9,7920.5,4.581,4.581,2239.5,5598.6,1.72,4392.8,6632.2,5598.6,47707_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47707_44k.wav,song,10,10,6,clear,47707,Macauley Library
3,Waveform 1,1,185.3710934,187.1753534,3385.3,8435.8,,,,,1.804,,,,47707_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47707_44k.wav,song,13,10,6,clear,47707,Macauley Library
3,Spectrogram 1,1,185.3710934,187.1753534,3385.3,8435.8,4.481,2.358,2153.3,5598.6,1.804,4392.8,6546.1,5598.6,47707_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47707_44k.wav,song,13,10,6,clear,47707,Macauley Library
3,Selection Spectrum 1,1,185.3710934,187.1753534,3385.3,8435.8,4.483,4.483,2153.3,5598.6,1.804,4392.8,6546.1,5598.6,47707_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/47707_44k.wav,song,13,10,6,clear,47707,Macauley Library
1,Waveform 1,1,46.45474325,47.79103739,3689.5,9750.7,,,,,1.336,,,,50312_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50312_44k.wav,song,3,6,3,clear,50312,Macauley Library
1,Spectrogram 1,1,46.45474325,47.79103739,3689.5,9750.7,3.596,1.967,1636.5,5943.2,1.336,5426.4,7062.9,5943.2,50312_44k.wav,/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/50312_44k.wav,song,3,6,3,clear,50312,Macauley Library
